elev_ft_NAVD88,elev_ft_NGVD29,area_ft2,area_m2,area_km2,area_mi2,area_acre,volume_ft3,volume_m3,volume_km3,volume_mi3,volume_acreft
4206.21,4202.73,51452491490,4780092875,4780.09,1845.6,1181181.95,8.15E+11,23066275073,23.07,5.53,18700181.48
4206.22,4202.74,51479692699,4782619950,4782.62,1846.58,1181806.4,8.15E+11,23081218458,23.08,5.54,18712296.31
4206.23,4202.75,51505800025,4785045400,4785.05,1847.52,1182405.74,8.16E+11,23095457620,23.1,5.54,18723840.22
4206.24,4202.76,51546150427,4788794075,4788.79,1848.96,1183332.05,8.16E+11,23110418875,23.11,5.54,18735969.54
4206.25,4202.77,51571571824,4791155800,4791.16,1849.88,1183915.65,8.17E+11,23124676311,23.12,5.55,18747528.26
4206.26,4202.78,51595882384,4793414325,4793.41,1850.75,1184473.74,8.17E+11,23138940630,23.14,5.55,18759092.56
4206.27,4202.79,51626850424,4796291350,4796.29,1851.86,1185184.66,8.18E+11,23153926109,23.15,5.55,18771241.51
4206.28,4202.8,51651081601,4798542500,4798.54,1852.73,1185740.93,8.18E+11,23168205817,23.17,5.56,18782818.29
4206.29,4202.81,51675616589,4800821875,4800.82,1853.61,1186304.18,8.19E+11,23183206589,23.18,5.56,18794979.65
4206.3,4202.82,51758039349,4808479200,4808.48,1856.56,1188196.33,8.19E+11,23197500516,23.2,5.57,18806567.95
4206.31,4202.83,51781792340,4810685925,4810.69,1857.42,1188741.63,8.20E+11,23212532228,23.21,5.57,18818754.39
4206.32,4202.84,51804940129,4812836425,4812.84,1858.25,1189273.02,8.20E+11,23226854633,23.23,5.57,18830365.78
4206.33,4202.85,51828170531,4814994600,4814.99,1859.08,1189806.32,8.21E+11,23241899885,23.24,5.58,18842563.2
4206.34,4202.86,51859089326,4817867050,4817.87,1860.19,1190516.11,8.21E+11,23256236867,23.26,5.58,18854186.41
4206.35,4202.87,51881676585,4819965475,4819.97,1861,1191034.64,8.22E+11,23271297734,23.27,5.58,18866396.48
4206.36,4202.88,51903805301,4822021300,4822.02,1861.79,1191542.65,8.22E+11,23285647618,23.29,5.59,18878030.15
4206.37,4202.89,51930081082,4824462400,4824.46,1862.74,1192145.85,8.23E+11,23300722039,23.3,5.59,18890251.22
4206.38,4202.9,51951581455,4826459850,4826.46,1863.51,1192639.43,8.23E+11,23315085223,23.32,5.59,18901895.67
4206.39,4202.91,51972938937,4828444025,4828.44,1864.27,1193129.73,8.24E+11,23330172787,23.33,5.6,18914127.39
4206.4,4202.92,51997550887,4830730550,4830.73,1865.16,1193694.74,8.24E+11,23344547983,23.34,5.6,18925781.58
4206.41,4202.93,52018348915,4832662750,4832.66,1865.9,1194172.2,8.25E+11,23359648808,23.36,5.6,18938024.05
4206.42,4202.94,52038561386,4834540550,4834.54,1866.63,1194636.21,8.25E+11,23374036221,23.37,5.61,18949688.14
4206.43,4202.95,52058914057,4836431375,4836.43,1867.36,1195103.44,8.26E+11,23389148886,23.39,5.61,18961940.21
4206.44,4202.96,52094020013,4839692825,4839.69,1868.62,1195909.36,8.26E+11,23403551452,23.4,5.61,18973616.59
4206.45,4202.97,52114134263,4841561500,4841.56,1869.34,1196371.12,8.27E+11,23418680186,23.42,5.62,18985881.69
4206.46,4202.98,52133897072,4843397525,4843.4,1870.05,1196824.81,8.28E+11,23433094010,23.43,5.62,18997567.19
4206.47,4202.99,52159198989,4845748150,4845.75,1870.95,1197405.66,8.28E+11,23448235347,23.45,5.63,19009842.51
4206.48,4203,52178485494,4847539925,4847.54,1871.65,1197848.41,8.29E+11,23462661577,23.46,5.63,19021538.07
4206.49,4203.01,52197963059,4849349450,4849.35,1872.34,1198295.55,8.29E+11,23477814731,23.48,5.63,19033822.97
4206.5,4203.02,52221125380,4851501300,4851.5,1873.18,1198827.28,8.30E+11,23492252112,23.49,5.64,19045527.57
